56,Arts,Art and Sculpture,1
58,Arts,Arts Education,1
60,Arts,Literature,1
61,Arts,Performing Arts,1
78,Business and Economics,Microcredit,1
79,Business and Economics,Microfinance,1
84,Children and Youth,Child and Youth Protection,1
85,Children and Youth,Child Labor,1
87,Children and Youth,Children's Health,1
88,Children and Youth,Juvenile Justice,1
89,Children and Youth,Rights of the Child,1
91,Children and Youth,Youth Education and Empowerment,1
94,Children and Youth,Youth-led Organizations,1
98,"Civil Society Organizations: Nonprofits, Philanthropy, and Social Entrepreneurs",Organizational Funding,1
99,"Civil Society Organizations: Nonprofits, Philanthropy, and Social Entrepreneurs",Organizational Governance,1
100,"Civil Society Organizations: Nonprofits, Philanthropy, and Social Entrepreneurs",Organizational Support and Management,1
101,"Civil Society Organizations: Nonprofits, Philanthropy, and Social Entrepreneurs",Philanthropy,1
114,Community Development,Community Enterprise,1
115,Community Development,Community Participation,1
116,Community Development,Community Resources,1
117,Community Development,Community Service/Volunteerism,1
118,Community Development,Community Training,1
120,Community Development,Fundraising,1
121,Community Development,Leadership Training,1
136,Cultural Heritage,Cultural Diversity,1
137,Cultural Heritage,Cultural Heritage Conservation,1
138,Cultural Heritage,Culture and Sustainability,1
140,Cultural Heritage,Traditional Culture,1
158,Education,Access To Education,1
183,Food and Nourishment,Food Aid,1
186,Food and Nourishment,Global Food Supply and Sustainability,1
205,Globalization,Fair Trade,1
206,Globalization,Globalization Impacts,1
207,Globalization,International Debt,1
210,Governance,Governance,1
212,Governance,Good Governance,1
213,Governance,Government Oversight and Reform,1
214,Governance,Institutional Accountability,1
245,Human Rights and Social Justice,Climate Justice,1
246,Human Rights and Social Justice,Disability Equality,1
248,Human Rights and Social Justice,Environmental Justice,1
250,Human Rights and Social Justice,Human Rights and Civil Liberties,1
251,Human Rights and Social Justice,Human Rights and Natural Law,1
252,Human Rights and Social Justice,Human Rights Education,1
254,Human Rights and Social Justice,Human Rights Protection,1
255,Human Rights and Social Justice,Human Trafficking and Slavery,1
257,Human Rights and Social Justice,Social Justice Education,1
259,Indigenous Peoples and Rights,Indigenous Lands,1
260,Indigenous Peoples and Rights,Indigenous Peoples and Cultures,1
261,Indigenous Peoples and Rights,Indigenous Rights,1
275,"Law, Policy and Property Rights",Land Reform,1
281,"Law, Policy and Property Rights",Precautionary Principle,1
282,"Law, Policy and Property Rights",Prison Reform and Policy,1
288,Media,Internet,1
307,"Peace, War and Security",Arms Trading,1
309,"Peace, War and Security",Land and Naval Mines,1
310,"Peace, War and Security",Militarism and Violence,1
311,"Peace, War and Security",Military Disarmament,1
312,"Peace, War and Security",Nuclear Disarmament,1
314,"Peace, War and Security","Protected Areas, Individuals, Objects and Property",1
315,"Peace, War and Security",Weapons,1
333,Population,Demographics,1
335,Population,Global Migration,1
336,Population,Human Population Growth and Impacts,1
341,Poverty Eradication,Poverty Alleviation,1
345,"Religion, Ecology, and Sustainability",Ecopsychology,1
376,Sustainable Development,Social Development,1
397,Water,Dams,1
398,Water,Groundwater,1
399,Water,Hydrology and the Global Water Cycle,1
400,Water,Water and Energy,1
401,Water,Water and Sustainable Development,1
402,Water,Water Law and Policy,1
403,Water,Water Quality and Health,1
405,Water,Water Supply and Conservation,1
406,Water,Watershed Management,1
211,Governance,Global Governance,2
247,Human Rights and Social Justice,Distributive and Economic Justice,2
249,Human Rights and Social Justice,Ethnic Equality,2
253,Human Rights and Social Justice,Human Rights Monitoring,2
284,"Law, Policy and Property Rights",Restorative Justice,2
289,Media,Journalism and the Press,2
290,Media,Media and Communication,2
313,"Peace, War and Security",Peace and Peace Building,2
404,Water,Water Rights,2
92,Children and Youth,Youth Leadership,3
119,Community Development,"Dialogue, Deliberation and Consensus-Building",3
274,"Law, Policy and Property Rights",International Humanitarian Law and War Crimes,3
308,"Peace, War and Security",Conflict Resolution,3
57,Arts,Arts Activism,4
59,Arts,Arts Therapy,4
86,Children and Youth,Children in Armed Conflict,4
90,Children and Youth,Youth Capacity Building,4
93,Children and Youth,Youth Participation,4
287,Media,Film,4
295,Media,Video,4
337,Population,"Refugees, Internally Displaced Persons, and Migrants",4
